tablo,conname,contype,tanim
reviews,reviews_professional_id_fkey,f,FOREIGN KEY (professional_id) REFERENCES profiles(id) ON DELETE CASCADE
reviews,reviews_rating_check,c,CHECK (((rating >= 1) AND (rating <= 5)))
service_addons,service_addons_pkey,p,PRIMARY KEY (id)
service_addons,service_addons_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
service_addons,service_addons_service_id_fkey,f,FOREIGN KEY (service_id) REFERENCES services(id) ON DELETE CASCADE
service_categories,service_categories_pkey,p,PRIMARY KEY (id)
service_categories,service_categories_slug_key,u,UNIQUE (slug)
service_packages,service_packages_pkey,p,PRIMARY KEY (id)
service_packages,service_packages_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
services,price_range_valid,c,CHECK (((price_on_request = true) OR ((price_min IS NOT NULL) AND (price_max IS NOT NULL) AND (price_min <= price_max))))
services,services_category_id_fkey,f,FOREIGN KEY (category_id) REFERENCES service_categories(id)
services,services_pkey,p,PRIMARY KEY (id)
services,services_price_unit_valid,c,"CHECK ((price_unit = ANY (ARRAY['total'::text, 'hourly'::text, 'half_day'::text, 'full_day'::text])))"
services,services_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
testimonials,testimonials_pkey,p,PRIMARY KEY (id)
testimonials,testimonials_rating_check,c,CHECK (((rating >= 1) AND (rating <= 5)))
turkish_cities,turkish_cities_name_key,u,UNIQUE (name)
turkish_cities,turkish_cities_pkey,p,PRIMARY KEY (id)
turkish_cities,turkish_cities_plate_no_key,u,UNIQUE (plate_no)
waitlist,waitlist_email_key,u,UNIQUE (email)
waitlist,waitlist_pkey,p,PRIMARY KEY (id)
